State,County,Ishispanic,Ethnicity,Ndeath
Mississippi,Chickasaw,Non-Hispanic,Unknown,0
Mississippi,Chickasaw,Hispanic,African-American,0
Mississippi,Chickasaw,Hispanic,White,0
Mississippi,Chickasaw,Hispanic,American-Indian-Alaska-Native,1
Mississippi,Chickasaw,Hispanic,Asian,0
Mississippi,Chickasaw,Hispanic,Other,0
Mississippi,Chickasaw,Hispanic,Unknown,0
Mississippi,Chickasaw,Unknown,African-American,0
Mississippi,Chickasaw,Unknown,White,0
Mississippi,Chickasaw,Unknown,American-Indian-Alaska-Native,0
Mississippi,Chickasaw,Unknown,Asian,0
Mississippi,Chickasaw,Unknown,Other,0
Mississippi,Chickasaw,Unknown,Unknown,0
Mississippi,Choctaw,Total,NA,4
Mississippi,Choctaw,Non-Hispanic,African-American,1
Mississippi,Choctaw,Non-Hispanic,White,3
Mississippi,Choctaw,Non-Hispanic,American-Indian-Alaska-Native,0
Mississippi,Choctaw,Non-Hispanic,Asian,0
Mississippi,Choctaw,Non-Hispanic,Other,0
Mississippi,Choctaw,Non-Hispanic,Unknown,0
Mississippi,Choctaw,Hispanic,African-American,0
Mississippi,Choctaw,Hispanic,White,0
Mississippi,Choctaw,Hispanic,American-Indian-Alaska-Native,0
Mississippi,Choctaw,Hispanic,Asian,0
Mississippi,Choctaw,Hispanic,Other,0
Mississippi,Choctaw,Hispanic,Unknown,0
Mississippi,Choctaw,Unknown,African-American,0
Mississippi,Choctaw,Unknown,White,0
Mississippi,Choctaw,Unknown,American-Indian-Alaska-Native,0
Mississippi,Choctaw,Unknown,Asian,0
Mississippi,Choctaw,Unknown,Other,0
Mississippi,Choctaw,Unknown,Unknown,0
Mississippi,Claiborne,Total,NA,10
Mississippi,Claiborne,Non-Hispanic,African-American,8
Mississippi,Claiborne,Non-Hispanic,White,2
Mississippi,Claiborne,Non-Hispanic,American-Indian-Alaska-Native,0
Mississippi,Claiborne,Non-Hispanic,Asian,0
Mississippi,Claiborne,Non-Hispanic,Other,0
Mississippi,Claiborne,Non-Hispanic,Unknown,0
Mississippi,Claiborne,Hispanic,African-American,0
Mississippi,Claiborne,Hispanic,White,0
Mississippi,Claiborne,Hispanic,American-Indian-Alaska-Native,0
Mississippi,Claiborne,Hispanic,Asian,0
Mississippi,Claiborne,Hispanic,Other,0
Mississippi,Claiborne,Hispanic,Unknown,0
Mississippi,Claiborne,Unknown,African-American,0
Mississippi,Claiborne,Unknown,White,0
Mississippi,Claiborne,Unknown,American-Indian-Alaska-Native,0
Mississippi,Claiborne,Unknown,Asian,0
Mississippi,Claiborne,Unknown,Other,0
Mississippi,Claiborne,Unknown,Unknown,0
Mississippi,Clarke,Total,NA,24
Mississippi,Clarke,Non-Hispanic,African-American,10
Mississippi,Clarke,Non-Hispanic,White,14
Mississippi,Clarke,Non-Hispanic,American-Indian-Alaska-Native,0
