State,County,Sex,Age_range,NDeath
Ohio,Monroe,Female,70-79,1
Ohio,Monroe,Female,80+,7
Ohio,Monroe,Male,70-79,3
Ohio,Monroe,Male,80+,6
Ohio,Montgomery,Female,60-69,1
Ohio,Montgomery,Female,70-79,2
Ohio,Montgomery,Female,80+,8
Ohio,Montgomery,Male,20-29,1
Ohio,Montgomery,Male,30-39,1
Ohio,Montgomery,Male,40-49,2
Ohio,Montgomery,Male,50-59,5
Ohio,Montgomery,Male,60-69,8
Ohio,Montgomery,Male,70-79,1
Ohio,Montgomery,Male,80+,6
Ohio,Morrow,Female,80+,1
Ohio,Muskingum,Female,80+,1
Ohio,Ottawa,Female,0-19,1
Ohio,Ottawa,Female,50-59,1
Ohio,Ottawa,Female,70-79,5
Ohio,Ottawa,Female,80+,10
Ohio,Ottawa,Male,30-39,1
Ohio,Ottawa,Male,60-69,1
Ohio,Ottawa,Male,80+,5
Ohio,Perry,Female,80+,1
Ohio,Pickaway,Female,60-69,1
Ohio,Pickaway,Female,70-79,1
Ohio,Pickaway,Male,30-39,1
Ohio,Pickaway,Male,40-49,3
Ohio,Pickaway,Male,50-59,5
Ohio,Pickaway,Male,60-69,10
Ohio,Pickaway,Male,70-79,15
Ohio,Pickaway,Male,80+,5
Ohio,Portage,Female,40-49,1
Ohio,Portage,Female,60-69,4
Ohio,Portage,Female,70-79,6
Ohio,Portage,Female,80+,23
Ohio,Portage,Male,50-59,2
Ohio,Portage,Male,60-69,3
Ohio,Portage,Male,70-79,11
Ohio,Portage,Male,80+,9
Ohio,Preble,Female,60-69,1
Ohio,Putnam,Female,60-69,1
Ohio,Putnam,Female,80+,7
Ohio,Putnam,Male,70-79,3
Ohio,Putnam,Male,80+,4
Ohio,Richland,Female,70-79,1
Ohio,Richland,Male,50-59,1
Ohio,Richland,Male,70-79,1
Ohio,Richland,Male,80+,2
Ohio,Ross,Female,50-59,1
Ohio,Ross,Male,50-59,1
Ohio,Ross,Male,70-79,1
Ohio,Sandusky,Female,50-59,1
Ohio,Sandusky,Female,60-69,1
Ohio,Sandusky,Female,80+,2
Ohio,Sandusky,Male,40-49,1
Ohio,Sandusky,Male,50-59,2
Ohio,Sandusky,Male,60-69,2
Ohio,Sandusky,Male,70-79,4
Ohio,Sandusky,Male,80+,2
